mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011637210845947266,0.0019142855561981795,0.005204200744628906,0.003801964960266481,0.001,0,,"{'C': 0.001, 'l1_ratio': 0, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0011681556701660157,0.0006598556363373076,0.0,0.0,0.001,0,elasticnet,"{'C': 0.001, 'l1_ratio': 0, 'penalty': 'elasticnet'}",,,,,,,,31
0.011982870101928712,0.0037795474232228364,0.004659032821655274,0.002885148757957978,0.001,0.25,,"{'C': 0.001, 'l1_ratio': 0.25, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0009756088256835938,0.001772900407340369,0.0,0.0,0.001,0.25,elasticnet,"{'C': 0.001, 'l1_ratio': 0.25, 'penalty': 'elasticnet'}",,,,,,,,31
0.011386346817016602,0.0029833696612618058,0.0033913612365722655,0.0012823347264287728,0.001,0.5,,"{'C': 0.001, 'l1_ratio': 0.5, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0006789684295654297,0.0008664032017545205,0.0,0.0,0.001,0.5,elasticnet,"{'C': 0.001, 'l1_ratio': 0.5, 'penalty': 'elasticnet'}",,,,,,,,31
0.012452411651611327,0.0032642316641275965,0.004020786285400391,0.002152585854938161,0.001,0.75,,"{'C': 0.001, 'l1_ratio': 0.75, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0019705772399902345,0.001894401304777594,0.0,0.0,0.001,0.75,elasticnet,"{'C': 0.001, 'l1_ratio': 0.75, 'penalty': 'elasticnet'}",,,,,,,,31
0.010284900665283203,0.0011033322218772796,0.005576610565185547,0.00292512630503794,0.001,1,,"{'C': 0.001, 'l1_ratio': 1, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0008174896240234375,0.0010012173599252693,0.0,0.0,0.001,1,elasticnet,"{'C': 0.001, 'l1_ratio': 1, 'penalty': 'elasticnet'}",,,,,,,,31
0.010710334777832032,0.0019009995443032618,0.006225299835205078,0.0026266377835150708,0.01,0,,"{'C': 0.01, 'l1_ratio': 0, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0020506858825683595,0.0030982873653043696,0.0,0.0,0.01,0,elasticnet,"{'C': 0.01, 'l1_ratio': 0, 'penalty': 'elasticnet'}",,,,,,,,31
0.00976715087890625,0.001751946458779675,0.00465087890625,0.0016301997951377759,0.01,0.25,,"{'C': 0.01, 'l1_ratio': 0.25, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0006184101104736329,0.0005925836761398246,0.0,0.0,0.01,0.25,elasticnet,"{'C': 0.01, 'l1_ratio': 0.25, 'penalty': 'elasticnet'}",,,,,,,,31
0.010514783859252929,0.0022305753466069773,0.0031280040740966795,0.002216316292172551,0.01,0.5,,"{'C': 0.01, 'l1_ratio': 0.5, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0010163307189941407,0.002001692904510807,0.0,0.0,0.01,0.5,elasticnet,"{'C': 0.01, 'l1_ratio': 0.5, 'penalty': 'elasticnet'}",,,,,,,,31
0.007350635528564453,0.002000316916490506,0.003957557678222656,0.0019767775826815006,0.01,0.75,,"{'C': 0.01, 'l1_ratio': 0.75, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0013519287109375,0.0017874182874909334,0.0,0.0,0.01,0.75,elasticnet,"{'C': 0.01, 'l1_ratio': 0.75, 'penalty': 'elasticnet'}",,,,,,,,31
0.00855412483215332,0.0030887736410548936,0.00395817756652832,0.0027669936198703045,0.01,1,,"{'C': 0.01, 'l1_ratio': 1, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0012034893035888672,0.001030633437859066,0.0,0.0,0.01,1,elasticnet,"{'C': 0.01, 'l1_ratio': 1, 'penalty': 'elasticnet'}",,,,,,,,31
0.010455036163330078,0.0030517346619681595,0.0015645980834960937,0.0017648308733826386,1,0,,"{'C': 1, 'l1_ratio': 0, 'penalty': None}",-0.08528659283118573,-0.06925993905031216,-0.06800394608193347,-0.1071709964389868,-0.18590918103376033,-0.1031261310872357,0.04374501174300933,1
0.0015651702880859375,0.0016504480247185782,0.0,0.0,1,0,elasticnet,"{'C': 1, 'l1_ratio': 0, 'penalty': 'elasticnet'}",,,,,,,,31
